"FECHA","LOCAL","VISITA"
"Viernes 12 de enero, 19:00 ","Querétaro","Toluca"
"Viernes 12 de enero, 21:00","Mazatlán FC","Atlético de San Luis"
"Sábado 13 de enero, 19:00","Cruz Azul","Pachuca"
"Sábado 13 de enero, 19:00","Guadalajara","Santos"
"Sábado 13 de enero, 21:00","Monterrey","Puebla"
"Sábado 13 de enero, 21:00","Tijuana","América"
"Domingo 14 de enero, 12:00","Pumas UNAM","Juárez FC"
"Domingo 14 de enero, 18:00","Necaxa","Atlas"
"Miércoles 17 de enero, 19:00","León","Tigres UANL"
"Viernes 19 de enero, 19:00 ","Puebla ","Necaxa"
"Viernes 19 de enero, 21:00","Atlético de San Luis","Pumas UNAM"
"Viernes 19 de enero, 21:00","Juárez FC","Cruz Azul"
"Sábado 20 de enero, 17:00","Toluca","Mazatlán FC"
"Sábado 20 de enero, 19:00","América","Querétaro"
"Sábado 20 de enero, 21:00","Atlas","Tijuana"
"Domingo 21 de enero, 18:00","Tigres UANL","Guadalajara"
"Domingo 21 de enero, 20:00","Santos","Monterrey"
"Por definir","Pachuca","León"
"Viernes 26 de enero, 19:00 ","Puebla ","Toluca"
"Viernes 26 de enero, 21:00","Tijuana","Guadalajara"
"Sábado 27 de enero, 17:00","Cruz Azul","Mazatlán FC"
"Sábado 27 de enero, 17:00","León","Santos"
"Sábado 27 de enero, 19:00","Monterrey","Atlético de San Luis"
"Sábado 27 de enero, 21:00","Necaxa","América"
"Domingo 28 de enero, 16:00","Atlas","Juárez FC"
"Domingo 28 de enero, 18:00","Pumas UNAM","Pachuca"
"Domingo 28 de enero, 20:00","Querétaro","Tigres UANL"
"Miércoles 24 de enero, 19:00","Atlético de San Luis","Tigres UANL"
"Miércoles 24 de enero, 19:00","Monterrey","Querétaro"
"Miércoles 24 de enero, 21:00","Juárez FC","América"
"Martes 30 de enero, 19:00","Cruz Azul","Tijuana"
"Martes 30 de enero, 19:00","Mazatlán FC","León"
"Martes 30 de enero, 21:00","Guadalajara","Toluca"
"Miércoles 31 de enero, 19:00","Pachuca","Atlas"
"Miércoles 31 de enero, 19:00","Santos","Puebla"
"Miércoles 31 de enero, 21:00","Pumas UNAM","Necaxa"
