,Equipo Local,xG_local,xG_visita,Equipo Visita,diff,efi
0,Atlético San Luis,0.6749999999999999,0.6749999999999999,Atlas,0,0
1,Mazatlán Fútbol Club,1.6799999999999997,0.8399999999999999,Puebla,0.84,0
2,Xolos,1.65,0.6749999999999999,León FC,0.975,1
3,Pachuca,1.2,0.13333333333333333,Gallos Blancos,1.066666667,0
4,Chivas,2.1,0,Bravos,2.1,1
5,Rayados,0.44999999999999996,4.2,Toluca,-3.75,1
6,Cruz Azul,0.8999999999999999,0.39999999999999997,América,0.5,1
7,Pumas,0.35000000000000003,0.7999999999999999,Tigres,-0.45,1
8,Santos Laguna,0.3,2.6999999999999997,Necaxa,-2.4,0
,,,,,,56%
