,Equipo Local,xG_local,xG_visita,Equipo Visita,dif,efi
0,Xolos,3.2913385826771653,0.8976377952755905,Santos Laguna,2.393700787401575,1
1,Pachuca,0.561023622,1.795275590551181,Toluca,-1.234251969,0
2,Atlético San Luis,0.7181102362204725,1.0771653543307087,Cruz Azul,-0.359055118,0
3,América,0.6283464566929133,0.35905511811023627,Atlas,0.26929133858267706,1
4,Gallos Blancos,0.07480315,0.8976377952755905,Tigres,-0.822834646,0
5,Pumas,1.9947506561679793,0.8976377952755905,Puebla,1.0971128608923888,1
6,Chivas,1.346456692913386,0,León FC,1.346456692913386,1
7,Mazatlán Fútbol Club,0.44881889763779526,1.0098425196850394,Necaxa,-0.561023622,0
8,Rayados,1.3464566929133857,1.6830708661417322,Bravos,-0.336614173,1
,,,,,,44%
